date,daily-stars,total-stars
24-01-2015,7,5223
25-01-2015,11,5234
26-01-2015,7,5241
27-01-2015,16,5257
28-01-2015,15,5272
29-01-2015,19,5291
30-01-2015,16,5307
31-01-2015,8,5315
01-02-2015,12,5327
02-02-2015,26,5353
03-02-2015,14,5367
04-02-2015,20,5387
05-02-2015,16,5403
06-02-2015,13,5416
07-02-2015,12,5428
08-02-2015,4,5432
09-02-2015,12,5444
10-02-2015,22,5466
11-02-2015,13,5479
12-02-2015,12,5491
13-02-2015,16,5507
14-02-2015,8,5515
15-02-2015,8,5523
16-02-2015,21,5544
17-02-2015,11,5555
18-02-2015,9,5564
19-02-2015,10,5574
20-02-2015,3,5577
21-02-2015,7,5584
22-02-2015,9,5593
23-02-2015,10,5603
24-02-2015,8,5611
25-02-2015,19,5630
26-02-2015,13,5643
27-02-2015,17,5660
28-02-2015,9,5669
01-03-2015,6,5675
02-03-2015,6,5681
03-03-2015,23,5704
04-03-2015,19,5723
05-03-2015,11,5734
06-03-2015,13,5747
07-03-2015,10,5757
08-03-2015,9,5766
09-03-2015,12,5778
10-03-2015,16,5794
11-03-2015,10,5804
12-03-2015,14,5818
13-03-2015,18,5836
14-03-2015,5,5841
15-03-2015,12,5853
16-03-2015,13,5866
17-03-2015,19,5885
18-03-2015,18,5903
19-03-2015,13,5916
20-03-2015,13,5929
21-03-2015,12,5941
22-03-2015,5,5946
23-03-2015,13,5959
24-03-2015,14,5973
25-03-2015,15,5988
26-03-2015,15,6003
27-03-2015,16,6019
28-03-2015,7,6026
29-03-2015,8,6034
30-03-2015,15,6049
31-03-2015,16,6065
01-04-2015,21,6086
02-04-2015,18,6104
03-04-2015,13,6117
04-04-2015,8,6125
05-04-2015,9,6134
06-04-2015,33,6167
07-04-2015,33,6200
08-04-2015,21,6221
09-04-2015,18,6239
10-04-2015,16,6255
11-04-2015,8,6263
12-04-2015,10,6273
13-04-2015,19,6292
14-04-2015,20,6312
15-04-2015,17,6329
16-04-2015,22,6351
17-04-2015,24,6375
18-04-2015,17,6392
19-04-2015,23,6415
