repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-0d,language,archived,dependencies,status,start_date,join_date
kubevirt/kubevirt,4471,82,40,26,2,18.340,Go,false,81,Incubating,2016-04-27 00:00:00 +0000 UTC,2019-09-06 00:00:00 +0000 UTC
litmuschaos/litmus,3802,43,19,8,1,11.310,Go,false,0,Incubating,2017-03-15 00:00:00 +0000 UTC,2020-06-25 00:00:00 +0000 UTC
envoyproxy/envoy,22649,192,101,43,3,8.477,C++,false,0,Graduated,2016-09-14 00:00:00 +0000 UTC,2017-09-13 00:00:00 +0000 UTC
openyurtio/openyurt,1520,13,9,4,0,8.553,Go,false,45,Sandbox,2020-05-21 00:00:00 +0000 UTC,2020-09-08 00:00:00 +0000 UTC
notaryproject/notation,207,8,6,5,0,38.647,Go,false,10,Incubating,2015-06-22 00:00:00 +0000 UTC,2017-10-24 00:00:00 +0000 UTC
containernetworking/cni,5011,48,20,16,5,9.579,Go,false,3,Incubating,2015-04-05 00:00:00 +0000 UTC,2017-05-23 00:00:00 +0000 UTC
kubewarden/kubewarden-controller,141,4,3,2,0,28.369,Go,false,14,Sandbox,2020-11-24 00:00:00 +0000 UTC,2022-06-17 00:00:00 +0000 UTC
tikv/tikv,13528,135,66,42,11,9.979,Rust,false,0,Graduated,2016-04-01 00:00:00 +0000 UTC,2018-08-28 00:00:00 +0000 UTC
volcano-sh/volcano,3292,107,47,18,2,32.503,Go,false,36,Incubating,2019-04-10 00:00:00 +0000 UTC,2020-04-09 00:00:00 +0000 UTC
clusterpedia-io/clusterpedia,647,20,3,1,0,30.912,Go,false,35,Sandbox,2021-10-08 00:00:00 +0000 UTC,2022-06-17 00:00:00 +0000 UTC
coredns/coredns,11022,120,51,20,4,10.887,Go,false,35,Graduated,2016-03-18 00:00:00 +0000 UTC,2017-02-27 00:00:00 +0000 UTC
superedge/superedge,951,2,2,2,0,2.103,Go,false,37,Sandbox,2020-12-19 00:00:00 +0000 UTC,2021-09-14 00:00:00 +0000 UTC
keptn/keptn,1789,9,3,2,0,5.031,Go,false,0,Incubating,2019-02-01 00:00:00 +0000 UTC,2020-06-25 00:00:00 +0000 UTC
kubescape/kubescape,8821,105,39,18,3,11.903,Go,false,50,Sandbox,2021-08-12 00:00:00 +0000 UTC,2022-12-13 00:00:00 +0000 UTC
curiefense/curiefense,661,14,6,1,0,21.180,Rust,false,0,Sandbox,2020-02-06 00:00:00 +0000 UTC,2021-01-26 00:00:00 +0000 UTC
slimtoolkit/slim,17172,134,70,41,7,7.803,Go,false,34,Sandbox,2015-09-09 00:00:00 +0000 UTC,2023-05-17 00:00:00 +0000 UTC
project-akri/akri,993,14,8,4,1,14.099,Rust,false,0,Sandbox,2020-10-19 00:00:00 +0000 UTC,2021-09-14 00:00:00 +0000 UTC
inclavare-containers/inclavare-containers,553,6,3,3,1,10.850,C,false,0,Sandbox,2020-05-12 00:00:00 +0000 UTC,2021-09-14 00:00:00 +0000 UTC
cubefs/cubefs,3639,185,59,37,14,50.838,Go,false,40,Incubating,2018-09-29 00:00:00 +0000 UTC,2019-12-16 00:00:00 +0000 UTC
pixie-io/pixie,4806,58,31,23,3,12.068,C++,false,0,Sandbox,2020-04-07 00:00:00 +0000 UTC,2021-06-22 00:00:00 +0000 UTC
headlamp-k8s/headlamp,1134,44,13,8,3,38.801,TypeScript,false,0,Sandbox,2020-04-01 00:00:00 +0000 UTC,2023-05-17 00:00:00 +0000 UTC
meshery/meshery,2915,199,56,30,1,68.268,Go,false,59,Sandbox,2018-11-14 00:00:00 +0000 UTC,2021-06-22 00:00:00 +0000 UTC
kyverno/kyverno,4342,121,65,28,0,27.867,Go,false,88,Incubating,2019-05-23 00:00:00 +0000 UTC,2020-11-10 00:00:00 +0000 UTC
istio/istio,33595,178,79,45,7,5.298,Go,false,115,Graduated,2016-12-01 00:00:00 +0000 UTC,2022-09-30 00:00:00 +0000 UTC
dapr/dapr,21807,153,66,32,4,7.016,Go,false,75,Incubating,2019-10-16 00:00:00 +0000 UTC,2021-11-09 00:00:00 +0000 UTC
helm/helm,24877,159,69,31,3,6.391,Go,false,43,Graduated,2015-10-06 00:00:00 +0000 UTC,2018-06-01 00:00:00 +0000 UTC
vitessio/vitess,16704,135,71,37,3,8.082,Go,false,87,Graduated,2014-01-02 00:00:00 +0000 UTC,2018-02-05 00:00:00 +0000 UTC
skooner-k8s/skooner,1148,10,7,4,1,8.711,JavaScript,false,0,Sandbox,2019-03-05 00:00:00 +0000 UTC,2021-01-26 00:00:00 +0000 UTC
clastix/capsule,1263,32,11,4,0,25.337,Go,false,17,Sandbox,2020-06-29 00:00:00 +0000 UTC,2022-12-13 00:00:00 +0000 UTC
fluxcd/flux2,5241,121,53,30,4,23.087,Go,false,53,Graduated,2016-11-02 00:00:00 +0000 UTC,2019-07-15 00:00:00 +0000 UTC
tellerops/teller,1827,56,24,11,1,30.651,Go,false,42,Sandbox,2021-03-24 00:00:00 +0000 UTC,2022-04-26 00:00:00 +0000 UTC
FabEdge/fabedge,496,8,2,1,1,16.129,Go,false,31,Sandbox,2021-07-16 00:00:00 +0000 UTC,2022-03-08 00:00:00 +0000 UTC
longhorn/longhorn,4971,78,35,22,3,15.691,Shell,false,0,Incubating,2017-04-14 00:00:00 +0000 UTC,2019-10-11 00:00:00 +0000 UTC
kubedl-io/kubedl,439,9,3,3,0,20.501,Go,false,37,Sandbox,2020-02-01 00:00:00 +0000 UTC,2021-06-22 00:00:00 +0000 UTC
kubeclipper/kubeclipper,219,11,4,3,0,50.228,Go,false,60,Sandbox,2022-06-17 00:00:00 +0000 UTC,2023-06-30 00:00:00 +0000 UTC
v6d-io/v6d,744,11,8,6,1,14.785,C++,false,0,Sandbox,2020-10-23 00:00:00 +0000 UTC,2021-04-28 00:00:00 +0000 UTC
cncf/tag-app-delivery,639,9,7,4,0,14.085,HTML,false,0,Sandbox,2019-06-07 00:00:00 +0000 UTC,2020-12-17 00:00:00 +0000 UTC
falcosecurity/falco,6247,69,34,18,3,11.045,C++,false,0,Incubating,2016-05-17 00:00:00 +0000 UTC,2018-10-10 00:00:00 +0000 UTC
brigadecore/brigade,2384,0,0,0,0,0.000,Go,false,0,Archived,2017-10-24 00:00:00 +0000 UTC,2019-03-18 00:00:00 +0000 UTC
devspace-cloud/devspace-cloud,97,2,2,2,1,20.619,Open Policy Agent,false,0,Sandbox,2017-10-13 00:00:00 +0000 UTC,2022-12-13 00:00:00 +0000 UTC
theupdateframework/python-tuf,1535,9,5,2,1,5.863,Python,false,0,Graduated,2014-01-02 00:00:00 +0000 UTC,2017-10-24 00:00:00 +0000 UTC
piraeusdatastore/piraeus-operator,286,7,4,3,1,24.476,Go,false,18,Sandbox,2019-07-09 00:00:00 +0000 UTC,2021-01-26 00:00:00 +0000 UTC
lima-vm/lima,12481,250,139,90,13,20.030,Go,false,44,Sandbox,2021-08-02 00:00:00 +0000 UTC,2022-09-14 00:00:00 +0000 UTC
devstream-io/devstream,812,13,6,4,3,16.010,Go,false,7,Sandbox,2021-10-09 00:00:00 +0000 UTC,2022-06-17 00:00:00 +0000 UTC
kudobuilder/kudo,1119,4,4,3,0,3.575,Go,false,29,Sandbox,2018-12-09 00:00:00 +0000 UTC,2020-06-25 00:00:00 +0000 UTC
